Cartório,Qtd. Nascimentos informados por arquivo,Qtd. Casamentos informados por arquivo,Qtd. Óbitos informados por arquivo,Qtd. Nascimentos informados on-line,Qtd. Casamentos informados on-line,Qtd. Óbitos informados on-line,Qtd. Nascimentos informados por outros meios,Qtd. Casamentos informados por outros meios,Qtd. Óbitos informados por outros meios,Qtd. Nascimentos informados pelo SISOBI,Qtd. Casamentos informados pelo SISOBI,Qtd. Óbitos informados pelo SISOBI
9340,684,221,364,2,5,21,0,0,0,0,0,0
9357,0,0,0,6,21,109,0,0,0,0,0,0
9365,3327,1443,1086,3,0,5,0,0,0,0,0,0
9373,203,15,85,90,4,93,0,0,0,0,0,0
9399,1135,229,371,1316,337,592,0,0,0,0,0,0
9407,1112,243,352,5,5,2,0,0,0,0,0,0
9415,0,0,0,99,13,107,0,0,0,0,0,0
9423,172,79,61,13,5,116,0,0,0,0,0,0
9431,66,19,56,204,57,123,0,0,0,0,0,0
9449,1155,323,474,0,0,0,0,0,0,0,0,0
9456,2,0,4,0,0,0,0,0,0,0,0,0
9464,0,0,0,277,38,113,0,0,0,0,0,0
9480,182,21,25,61,9,45,0,0,0,0,0,0
9498,0,0,0,6,7,7,0,0,0,0,0,0
9506,681,265,274,0,0,0,0,0,0,0,0,0
9514,0,0,0,9,5,9,0,0,0,0,0,0
9522,0,0,0,14,1,5,0,0,0,0,0,0
9530,1,5,0,2,0,4,0,0,0,0,0,0
9548,239,28,53,0,0,0,0,0,0,0,0,0
9555,472,149,161,1,1,0,0,0,0,0,0,0
9563,147,36,69,108,41,37,0,0,0,0,0,0
9571,532,80,253,0,0,0,0,0,0,0,0,0
9589,0,0,0,72,2,15,0,0,0,0,0,0
9597,92,22,28,99,21,50,0,0,0,0,0,0
9605,0,0,0,678,31,349,0,0,0,0,0,0
9613,8665,1475,2396,0,0,0,0,0,0,0,0,0
9639,469,113,147,1,1,23,0,0,0,0,0,0
9654,0,0,0,26,14,11,0,0,0,0,0,0
9662,26,21,7,0,0,0,0,0,0,0,0,0
9670,0,0,0,2,0,0,0,0,0,0,0,0
9688,0,0,0,461,71,138,0,0,0,0,0,0
9696,0,0,0,62,14,25,0,0,0,0,0,0
9704,0,0,0,10,0,3,0,0,0,0,0,0
9712,770,148,298,0,0,0,0,0,0,0,0,0
9720,733,252,182,122,58,28,0,0,0,0,0,0
9738,1939,1129,1020,0,0,0,0,0,0,0,0,0
9746,931,350,338,0,0,0,0,0,0,0,0,0
9753,360,108,134,1,0,0,0,0,0,0,0,0
9761,2185,753,1647,1,1,0,0,0,0,0,0,0
9779,0,0,0,33,16,20,0,0,0,0,0,0
9787,0,0,0,28,1,9,0,0,0,0,0,0
9795,7,0,2,0,0,0,0,0,0,0,0,0
9803,0,0,0,29,3,18,0,0,0,0,0,0
9811,687,104,421,8,0,0,0,0,0,0,0,0
9837,148,9,12,90,4,17,0,0,0,0,0,0
9845,1228,734,900,0,0,0,0,0,0,0,0,0
9852,0,0,0,185,35,113,0,0,0,0,0,0
9860,0,0,0,363,47,128,0,0,0,0,0,0
9878,0,0,0,383,70,242,0,0,0,0,0,0
9886,0,0,0,158,1,274,0,0,0,0,0,0
9894,0,0,0,32,5,12,0,0,0,0,0,0
9902,0,0,0,36,0,129,0,0,0,0,0,0
9910,139,59,47,0,0,0,0,0,0,0,0,0
9928,0,0,0,53,42,25,0,0,0,0,0,0
9936,0,0,0,86,23,26,0,0,0,0,0,0
9944,0,0,0,18,3,24,0,0,0,0,0,0
9951,389,204,382,0,0,0,0,0,0,0,0,0
9969,1220,201,496,0,1,11,0,0,0,0,0,0
9985,69,28,42,13,3,3,0,0,0,0,0,0
9993,988,631,551,14,2,0,0,0,0,0,0,0
10009,0,0,0,46,0,43,0,0,0,0,0,0
10017,0,0,0,162,48,28,0,0,0,0,0,0
10454,264,40,119,31,12,17,0,0,0,0,0,0
10652,108,30,84,0,0,3,0,0,0,0,0,0
10660,2476,190,631,0,0,0,0,0,0,0,0,0
10686,0,0,0,341,90,203,0,0,0,0,0,0
10736,0,0,0,7,0,14,0,0,0,0,0,0
10744,0,0,0,16,3,12,0,0,0,0,0,0
10769,0,0,0,116,40,55,0,0,0,0,0,0
10777,6,3,4,0,0,1,0,0,0,0,0,0
10785,0,0,0,0,0,39,0,0,0,0,0,0
10793,0,0,0,75,20,116,0,0,0,0,0,0
10801,27,0,11,6,0,1,0,0,0,0,0,0
10819,178,34,40,474,88,84,0,0,0,0,0,0
10827,3919,1599,1619,2,0,0,0,0,0,0,0,0
10835,112,26,58,89,33,45,0,0,0,0,0,0
10843,0,0,0,61,0,17,0,0,0,0,0,0
10850,4163,781,792,328,111,1525,0,0,0,0,0,0
10868,0,0,0,127,13,114,0,0,0,0,0,0
10876,2428,568,897,4,91,24,0,0,0,0,0,0
10884,0,7,1,0,0,1,0,0,0,0,0,0
10892,0,0,0,64,0,15,0,0,0,0,0,0
10900,0,0,0,203,54,80,0,0,0,0,0,0
10918,0,0,0,0,0,27,0,0,0,0,0,0
10926,0,0,0,426,88,126,0,0,0,0,0,0
10934,733,100,194,762,126,197,0,0,0,0,0,0
10942,1691,492,598,41,14,18,0,0,0,0,0,0
10959,0,0,0,88,42,19,0,0,0,0,0,0
10967,0,0,0,122,35,31,0,0,0,0,0,0
10975,0,0,0,0,0,16,0,0,0,0,0,0
10983,765,122,363,0,1,0,0,0,0,0,0,0
10991,363,37,214,0,0,5,0,0,0,0,0,0
11080,0,0,0,246,51,123,0,0,0,0,0,0
11098,31,34,13,15,21,35,0,0,0,0,0,0
11106,0,0,0,361,58,107,0,0,0,0,0,0
11130,0,0,0,19,1,11,0,0,0,0,0,0
11189,0,0,0,0,0,62,0,0,0,0,0,0
11197,0,0,0,126,0,82,0,0,0,0,0,0
11205,10,0,0,0,5,0,0,0,0,0,0,0
11213,563,123,285,0,1,0,0,0,0,0,0,0
11247,0,0,0,39,7,14,0,0,0,0,0,0
11254,68,25,40,98,28,45,0,0,0,0,0,0
11304,0,0,0,206,64,97,0,0,0,0,0,0
11346,0,0,0,0,0,28,0,0,0,0,0,0
11353,0,0,0,67,35,31,0,0,0,0,0,0
11361,0,0,0,352,53,119,0,0,0,0,0,0
11387,19,5,7,0,0,0,0,0,0,0,0,0
11395,918,240,371,1,8,0,0,0,0,0,0,0
11445,0,0,0,339,62,145,0,0,0,0,0,0
11502,3290,341,525,0,0,0,0,0,0,0,0,0
11510,0,0,0,17,0,4,0,0,0,0,0,0
11536,0,0,0,0,0,49,0,0,0,0,0,0
11569,0,0,0,10,2,22,0,0,0,0,0,0
11593,0,0,0,342,68,119,0,0,0,0,0,0
11635,0,0,0,56,12,29,0,0,0,0,0,0
11643,840,218,417,0,0,0,0,0,0,0,0,0
11650,0,0,0,114,24,92,0,0,0,0,0,0
11684,0,0,0,23,2,10,0,0,0,0,0,0
11700,0,0,0,76,4,8,0,0,0,0,0,0
11718,499,171,223,1,5,2,0,0,0,0,0,0
11734,4458,837,1792,0,0,0,0,0,0,0,0,0
11742,0,0,0,416,110,179,0,0,0,0,0,0
11759,1,0,0,0,0,0,0,0,0,0,0,0
11767,1,0,1,0,0,0,0,0,0,0,0,0
11775,0,0,0,171,35,69,0,0,0,0,0,0
11783,24,9,13,31,9,15,0,0,0,0,0,0
11809,16,10,9,26,7,14,0,0,0,0,0,0
11817,30,6,12,43,7,18,0,0,0,0,0,0
11858,98,9,42,0,0,0,0,0,0,0,0,0
11866,0,0,0,59,2,18,0,0,0,0,0,0
11874,0,0,0,33,4,30,0,0,0,0,0,0
11890,2,8,13,0,0,0,0,0,0,0,0,0
11908,73,10,57,1,1,27,0,0,0,0,0,0
11916,49,20,10,1,0,1,0,0,0,0,0,0
11932,0,0,0,101,29,3,0,0,0,0,0,0
11940,0,0,0,80,20,31,0,0,0,0,0,0
11973,0,0,0,42,14,40,0,0,0,0,0,0
11981,0,0,0,72,0,17,0,0,0,0,0,0
11999,0,0,0,410,24,158,0,0,0,0,0,0
12005,0,0,0,2,0,24,0,0,0,0,0,0
12013,0,0,0,11,5,22,0,0,0,0,0,0
12021,8,0,1,0,0,0,0,0,0,0,0,0
12047,16,2,2,0,0,0,0,0,0,0,0,0
12054,21,9,12,142,32,17,0,0,0,0,0,0
12062,0,0,0,27,9,15,0,0,0,0,0,0
12070,0,0,0,296,7,228,0,0,0,0,0,0
12088,0,0,0,14,1,7,0,0,0,0,0,0
12096,0,0,0,15,0,6,0,0,0,0,0,0
12104,30,0,11,0,0,0,0,0,0,0,0,0
12112,0,0,0,9,3,122,0,0,0,0,0,0
12120,0,0,0,62,0,76,0,0,0,0,0,0
12138,0,0,0,4,21,130,0,0,0,0,0,0
12146,91,30,43,23,5,113,0,0,0,0,0,0
12153,36,15,3,73,37,9,0,0,0,0,0,0
12161,0,0,0,170,37,61,0,0,0,0,0,0
12195,14,56,8,0,0,0,0,0,0,0,0,0
12211,372,89,194,0,0,0,0,0,0,0,0,0
12229,357,61,129,106,28,55,0,0,0,0,0,0
12237,0,0,0,135,28,128,0,0,0,0,0,0
12245,0,0,0,0,0,128,0,0,0,0,0,0
12252,0,0,0,304,0,188,0,0,0,0,0,0
12260,0,0,0,0,0,228,0,0,0,0,0,0
12286,206,47,140,2,3,3,0,0,0,0,0,0
12302,25,3,9,56,2,10,0,0,0,0,0,0
