indicx,no_cidade
"77.64","Murici"
"110.70","Indiaroba"
"97.36","São José da Laje"
"87.25","Campo do Brito"
"123.33","Senador Rui Palmeira"
"100.81","Jaramataia"
"101.05","Messias"
"83.90","Malhada dos Bois"
"103.61","Japoatã"
"99.56","Propriá"
"89.47","Telha"
"92.66","Ribeirópolis"
"88.54","Aporá"
"128.83","América Dourada"
"91.91","Anguera"
"128.88","São Domingos"
"102.73","Moita Bonita"
"114.28","Pedra Mole"
"90.03","Anagé"
"99.57","Lagarto"
"124.50","Aramari"
"86.69","Santo Amaro das Brotas"
"148.95","Antônio Gonçalves"
"108.49","Barra"
"94.26","Nossa Senhora Aparecida"
"102.29","Banzaê"
"100.00","Porto da Folha"
"80.90","Andorinha"
"98.14","Nossa Senhora do Socorro"
"115.68","São Miguel do Aleixo"
"104.97","Abaré"
"113.37","Bom Jesus da Serra"
"132.07","Santana do São Francisco"
"93.78","Boninal"
"109.45","Tomar do Geru"
"112.66","Boa Nova"
"121.68","Araças"
"86.88","Buritirama"
"97.72","Barro Preto"
"89.58","Aracatu"
"126.96","Nossa Senhora de Lourdes"
"103.05","Monte Alegre de Sergipe"
"92.93","Itaporanga d'Ajuda"
"92.82","Umbaúba"
"106.34","Santa Rosa de Lima"
"125.45","Aiquara"
"98.08","Nossa Senhora das Dores"
"146.93","Abaíra"
"101.75","Itabi"
"122.10","Pinhão"
"109.35","Pacatuba"
"102.19","Laranjeiras"
"69.07","Caatiba"
"90.10","Barra do Rocha"
"120.07","Salgado"
"112.42","Pirambu"
"93.59","Água Fria"
"115.55","Brejolândia"
"96.49","Apuarema"
"89.47","Barro Alto"
"89.14","Érico Cardoso"
"111.32","Amargosa"
"83.54","Barra do Choça"
"128.20","São Francisco"
"96.02","Buerarema"
"102.61","Malhador"
"75.53","Barra do Mendes"
"122.16","Belmonte"
"101.96","Riachuelo"
"95.40","Alcobaça"
"117.37","Simão Dias"
"93.59","Tobias Barreto"
"93.79","Pedrinhas"
"80.83","Aurelino Leal"
"63.88","Almadina"
"100.00","Japaratuba"
"112.89","Boquira"
"116.15","Neópolis"
"88.88","Macambira"
"108.78","Siriri"
"99.54","Angical"
"101.86","Maruim"
"111.35","Santa Luzia do Itanhy"
"99.59","Acajutiba"
"114.80","Riachão do Dantas"
"125.25","Barrocas"
"93.81","Barra da Estiva"
"99.14","Adustina"
"100.00","Andaraí"
"103.10","Barreiras"
"94.67","Cabaceiras do Paraguaçu"
"93.89","Bonito"
"132.20","Muribeca"
"69.85","Amélia Rodrigues"
"125.90","Antas"
"106.26","São Cristóvão"
"115.65","Belo Campo"
"105.78","Rosário do Catete"
"112.99","Poço Redondo"
"110.94","Nossa Senhora da Glória"
"99.75","Cachoeira"
"85.43","Araci"
"109.50","Brejões"
"52.94","Arataca"
"132.34","Bom Jesus da Lapa"
"104.68","Antônio Cardoso"
"88.30","Baianópolis"
"97.67","Brotas de Macaúbas"
"118.18","Biritinga"
"96.96","Caculé"
"129.50","Itabaianinha"
"112.85","Botuporã"
"83.84","Boa Vista do Tupim"
"114.46","Poço Verde"
"102.57","Brumado"
"107.74","Baixa Grande"
"91.26","Alagoinhas"
"77.44","Aratuípe"
"98.54","Cândido Sales"
"94.54","Caturama"
"100.41","Ibotirama"
"88.77","Caém"
"117.50","Contendas do Sincorá"
"118.24","Iramaia"
"108.46","Dário Meira"
"107.54","Gavião"
"120.57","Iguaí"
"133.98","Ipupiara"
"91.48","Conceição da Feira"
"94.49","Capim Grosso"
"115.50","Conceição do Coité"
"91.71","Coaraci"
"110.54","Filadélfia"
"123.51","Ibicoara"
"107.94","Ibirataia"
"108.29","Camaçari"
"89.48","Iaçu"
"136.00","Firmino Alves"
"100.55","Cristópolis"
"98.98","Chorrochó"
"98.38","Feira da Mata"
"122.54","Camamu"
"78.05","Esplanada"
"97.23","Coronel João Sá"
"99.98","Feira de Santana"
"102.97","Ibicuí"
"90.05","Ipiaú"
"123.52","Cravolândia"
"84.06","Heliópolis"
"90.32","Irará"
"102.65","Caraíbas"
"115.73","Guajeru"
"154.40","Canápolis"
"99.84","Entre Rios"
"100.64","Cafarnaum"
"100.80","Fátima"
"105.48","Cansanção"
"92.80","Canarana"
"124.57","Glória"
"105.48","Iraquara"
"84.96","Cardeal da Silva"
"104.08","Ibiassucê"
"91.89","Carinhanha"
"100.67","Eunápolis"
"96.15","Floresta Azul"
"110.78","Igaporã"
"81.72","Cordeiros"
"86.57","Ilhéus"
"119.32","Correntina"
"107.07","Inhambupe"
"78.46","Ibiquera"
"94.73","Ichu"
"77.59","Camacan"
"106.87","Gandu"
"100.73","Ibipeba"
"109.58","Curaçá"
"95.08","Casa Nova"
"125.80","Elísio Medrado"
"98.33","Capela do Alto Alegre"
"83.61","Cipó"
"112.50","Cotegipe"
"116.57","Conde"
"101.67","Cruz das Almas"
"84.76","Caetité"
"96.68","Dias d'Ávila"
"94.28","Irajuba"
"95.40","Candeal"
"92.47","Conceição do Almeida"
"97.87","Central"
"87.25","Encruzilhada"
"110.53","Cícero Dantas"
"117.29","Gentio do Ouro"
"121.85","Candeias"
